name,category,url,description,free_tier,requires_signup,tags
Amazon Q Developer,Code Assistant,https://aws.amazon.com/q/developer,AWS's AI coding assistant with IDE inline suggestions and agentic coding in VS Code and JetBrains,Free tier: unlimited completions + 50 agentic tasks/month,Yes,"coding,ide,aws,autocomplete,agent"
Kling AI,Video Generation,https://kling.ai,High-quality text-to-video and image-to-video generation from Kuaishou,Free tier: 66 credits/day (watermarked outputs),Yes,"video,generation,text-to-video,image-to-video"
Pika,Video Generation,https://pika.art,AI video generation and image-animation with text-to-video controls,Free plan with monthly credits,Yes,"video,generation,animation,editing"
LiteLLM,LLM Router,https://litellm.ai,Unified OpenAI-compatible proxy that routes to 100+ LLM providers with automatic retries and rate-limit fallback,Completely free; open-source,No,"api,routing,proxy,open-source,fallback"
LangChain,Agent Framework,https://python.langchain.com,Provider-agnostic framework for building LLM chains and agents; includes LangGraph for stateful multi-agent workflows,Completely free; open-source,No,"agent,pipeline,open-source,rag,framework"
CrewAI,Agent Framework,https://crewai.com,Role-based multi-agent framework — define a crew of agents with distinct roles and goals; lowest barrier to entry of any major framework,Completely free; open-source,No,"agent,multi-agent,open-source,roles,framework"
AutoGen,Agent Framework,https://microsoft.github.io/autogen,Microsoft's conversational multi-agent framework with the richest set of agent conversation patterns,Completely free; open-source,No,"agent,multi-agent,microsoft,open-source,conversation"
MetaGPT,Agent Framework,https://github.com/geekan/MetaGPT,"Chinese framework that maps software-team roles (PM, architect, engineer, QA) to LLM agents following structured SOPs",Completely free; open-source,No,"agent,multi-agent,chinese,sop,software,open-source"
AgentScope,Agent Framework,https://github.com/modelscope/agentscope,Alibaba's production-ready multi-agent framework with visual Studio UI and distributed execution support,Completely free; open-source,No,"agent,multi-agent,alibaba,chinese,distributed,open-source"
LlamaIndex,RAG Framework,https://llamaindex.ai,Framework for connecting LLMs to external data sources and building retrieval-augmented generation pipelines,Completely free; open-source,No,"rag,open-source,framework,embeddings,retrieval"
DSPy,Prompt Optimization,https://dspy.ai,Stanford framework for algorithmically optimizing LLM prompts and pipelines instead of hand-writing them,Completely free; open-source,No,"prompting,optimization,open-source,research,framework"
aisuite,LLM Client,https://github.com/andrewyng/aisuite,Lightweight unified Python interface to multiple LLM providers from Andrew Ng's team,Completely free; open-source,No,"api,unified,open-source,python,lightweight"
models.dev,Search / Research,https://models.dev,"Comprehensive reference for frontier AI model pricing, context windows, and capabilities across all major labs",Completely free,No,"research,pricing,models,comparison,frontier"
Freebuff,Code Assistant,https://freebuff.com,"AI coding agent that runs in your terminal — ad-supported so it costs nothing; built on Codebuff with specialised sub-agents for file picking, code review, and browser use",Completely free (ad-supported in CLI),No,"coding,terminal,open-source,ads,agent"
OpenCode,Code Assistant,https://opencode.ai,Open-source terminal coding agent from the SST team with a TUI interface and support for 75+ LLMs including local models via Ollama; the optional OpenCode Go plan adds 18 hosted open models for $10/mo,Completely free; bring your own key or use free providers,No,"coding,terminal,open-source,agent,tui"
Lovable,Code / UI,https://lovable.dev,AI full-stack app builder that generates React/TypeScript with a Supabase backend and deploys instantly,Free tier: 5 credits/day (30/month); no credit card required,Yes,"coding,fullstack,frontend,deployment,react"
Chutes.ai,LLM API,https://chutes.ai,Decentralised serverless inference on the Bittensor network — frequently hosts free or near-free DeepSeek and other open-model endpoints,Free tier available; pricing fluctuates with network conditions,Yes,"api,deepseek,open-source,decentralised,bittensor"
Puter.js,LLM API,https://developer.puter.com,Browser-native JS library giving free access to DeepSeek V4 Flash/Pro and other models with no API key or server setup,Completely free for developers; user-pays model covers costs,No,"api,deepseek,javascript,browser,no-key"
Cloudflare Workers AI,LLM API,https://developers.cloudflare.com/workers-ai,Serverless GPU inference for open-weight models running on Cloudflare's edge network,"Free: 10,000 Neurons/day, resetting at 00:00 UTC",Yes,"api,serverless,edge,open-source,inference"
SambaNova Cloud,LLM API,https://cloud.sambanova.ai,High-throughput inference for open-weight models on SambaNova RDU hardware,"Free tier: 200,000 tokens/day per model",Yes,"api,fast,open-source,inference,llama"
NVIDIA NIM,LLM API,https://build.nvidia.com,OpenAI-compatible endpoints for 120+ open-weight models hosted by NVIDIA,"Free: 1000 API credits at ~40 requests/min, no credit card",Yes,"api,open-source,nvidia,inference,openai-compatible"
Vercel AI Gateway,LLM Router,https://vercel.com/docs/ai-gateway,"Single endpoint routing to 200+ models from 40+ providers with budgets, monitoring and fallbacks","Free: $5 of gateway credit per month, refreshing every 30 days",Yes,"api,routing,fallback,aggregator,vercel"
Cline,Code Assistant,https://cline.bot,MIT-licensed autonomous coding agent for VS Code; the project most other VS Code agents were forked from,Completely free; open-source (bring your own key),No,"coding,vscode,agent,open-source,byok"
Kilo Code,Code Assistant,https://kilo.ai,"Open-source coding agent for VS Code, JetBrains, CLI and Slack with access to 500+ models at zero inference markup",Completely free; open-source (bring your own key at list price),No,"coding,vscode,jetbrains,agent,open-source,byok"
Zed,Code Assistant,https://zed.dev,"High-performance open-source editor written in Rust with native AI, MCP support and multiplayer editing",Free Personal plan: 2000 edit predictions/month,Yes,"coding,editor,open-source,mcp,rust"
Dreamina (Seedance 2.0),Video Generation,https://dreamina.capcut.com,ByteDance's text- and image-to-video generator running the Seedance 2.0 model with native audio,"Free daily credits (~2-3 videos/day) at up to 1080p, watermark-free",Yes,"video,generation,bytedance,text-to-video,audio"
